age,income,dti,utilization,num_delinq,employment_years,default
35.0,91373.0,0.058,0.275,1,3.5,0
33.0,52644.0,0.424,0.7,0,8.7,0
38.0,17423.0,0.267,0.791,0,5.4,1
53.0,59229.0,0.336,0.463,1,3.7,1
42.0,44219.0,0.437,0.75,0,5.8,0
38.0,41010.0,0.371,0.512,0,3.9,1
28.0,37464.0,0.485,0.194,0,6.1,1
20.0,50838.0,0.234,0.681,2,5.4,1
34.0,42506.0,0.232,0.531,1,6.4,1
39.0,21411.0,0.217,0.219,0,14.9,1
61.0,102338.0,0.256,0.148,0,7.9,0
42.0,47946.0,0.165,0.36,0,2.2,1
52.0,37573.0,0.22,0.241,0,11.3,0
34.0,30816.0,0.466,0.607,0,12.1,1
26.0,79648.0,0.53,0.391,0,1.0,1
28.0,28305.0,0.108,0.715,0,1.9,1
31.0,57930.0,0.095,0.045,1,4.5,1
66.0,40464.0,0.595,0.046,2,3.8,1
30.0,41660.0,0.204,0.47,0,6.3,0
50.0,31201.0,0.055,0.304,0,1.6,1
29.0,39729.0,0.331,0.64,0,2.8,1
51.0,54416.0,0.188,0.605,1,10.8,1
45.0,60941.0,0.094,0.437,0,1.4,1
38.0,36578.0,0.266,0.656,0,3.2,0
40.0,51768.0,0.222,0.739,0,3.4,1
32.0,84476.0,0.282,0.861,1,16.5,0
45.0,23593.0,0.132,0.344,1,5.4,0
35.0,54007.0,0.473,0.496,0,3.5,1
25.0,33678.0,0.368,0.478,1,2.9,1
25.0,32005.0,0.259,0.064,1,4.2,1
42.0,61729.0,0.294,0.332,2,3.6,1
59.0,41249.0,0.277,0.072,1,4.1,1
42.0,29484.0,0.301,0.366,2,5.2,1
39.0,105045.0,0.22,0.296,1,7.6,1
43.0,85823.0,0.326,0.841,1,4.5,1
56.0,20617.0,0.326,0.469,0,3.5,1
43.0,25920.0,0.069,0.456,0,4.9,1
35.0,72892.0,0.296,0.474,1,1.2,1
53.0,46984.0,0.331,0.497,0,4.3,1
45.0,114724.0,0.237,0.311,0,5.5,1
58.0,73730.0,0.205,0.503,1,9.3,0
42.0,62927.0,0.436,0.351,0,2.9,0
25.0,32502.0,0.029,0.253,0,4.7,1
24.0,69267.0,0.241,0.738,0,13.6,1
60.0,28627.0,0.402,0.675,0,5.9,0
61.0,104050.0,0.303,0.696,2,4.3,1
38.0,66908.0,0.076,0.517,0,4.3,0
35.0,35867.0,0.219,0.387,0,7.1,1
58.0,81011.0,0.194,0.614,0,6.2,0
27.0,166169.0,0.285,0.496,0,6.6,0
29.0,48591.0,0.163,0.431,0,3.4,1
48.0,71340.0,0.243,0.864,1,5.4,1
35.0,43656.0,0.259,0.148,0,11.5,1
40.0,56538.0,0.198,0.186,1,3.9,0
38.0,25499.0,0.234,0.109,0,2.0,1
44.0,54162.0,0.036,0.392,2,4.2,1
57.0,55370.0,0.035,0.766,0,4.0,1
41.0,133186.0,0.166,0.506,0,4.7,1
48.0,22082.0,0.262,0.723,0,10.9,1
18.0,47078.0,0.608,0.352,0,5.5,1
39.0,103162.0,0.338,0.279,0,10.7,1
30.0,48008.0,0.386,0.454,0,1.9,0
25.0,49728.0,0.09,0.315,0,2.8,1
29.0,35717.0,0.257,0.37,0,4.1,1
36.0,33986.0,0.257,0.202,1,13.1,0
51.0,21744.0,0.199,0.546,0,8.7,1
24.0,39553.0,0.164,0.342,1,2.8,1
40.0,33035.0,0.257,0.17,1,5.6,0
34.0,57470.0,0.394,0.276,0,3.5,0
36.0,36540.0,0.092,0.197,1,9.1,0
52.0,42625.0,0.441,0.125,1,1.8,0
46.0,43213.0,0.295,0.7,0,2.7,1
56.0,52887.0,0.187,0.428,0,3.7,1
38.0,41595.0,0.127,0.28,2,9.7,1
32.0,31860.0,0.31,0.301,0,5.1,1
37.0,56550.0,0.088,0.793,0,4.8,1
43.0,92387.0,0.291,0.302,0,2.2,0
42.0,57770.0,0.328,0.078,2,4.1,1
27.0,39938.0,0.022,0.308,1,7.2,1
41.0,50941.0,0.304,0.617,0,6.7,1
43.0,19432.0,0.058,0.295,0,5.4,0
70.0,50529.0,0.012,0.447,0,6.6,0
63.0,44348.0,0.208,0.39,0,5.6,0
30.0,33971.0,0.305,0.392,0,1.9,0
37.0,37196.0,0.245,0.506,0,7.5,1
22.0,44129.0,0.319,0.771,1,4.5,1
33.0,88986.0,0.428,0.401,1,7.3,1
44.0,93529.0,0.443,0.845,0,7.2,1
54.0,34062.0,0.174,0.634,0,7.0,0
31.0,41813.0,0.163,0.225,0,4.2,1
32.0,42349.0,0.168,0.755,0,8.9,0
18.0,81208.0,0.125,0.398,0,5.2,0
38.0,58265.0,0.25,0.465,0,10.3,0
27.0,56749.0,0.477,0.673,0,10.1,1
34.0,70837.0,0.462,0.64,0,7.4,1
29.0,40207.0,0.208,0.426,0,5.5,0
39.0,107146.0,0.129,0.68,1,3.5,0
19.0,54129.0,0.208,0.527,0,5.1,1
22.0,35314.0,0.286,0.849,1,1.2,1
66.0,48300.0,0.302,0.263,0,5.6,1
25.0,100304.0,0.28,0.449,1,7.5,0
27.0,43802.0,0.243,0.232,0,4.5,1
62.0,87097.0,0.26,0.452,0,6.9,1
75.0,39629.0,0.578,0.668,0,10.7,1
26.0,36944.0,0.583,0.622,0,4.9,1
36.0,75342.0,0.214,0.244,0,8.9,0
44.0,34997.0,0.224,0.514,0,2.6,0
61.0,81738.0,0.185,0.305,0,4.2,1
28.0,64590.0,0.51,0.254,3,3.2,1
37.0,35003.0,0.421,0.11,0,7.7,1
49.0,52275.0,0.085,0.622,0,2.6,1
45.0,41176.0,0.383,0.193,0,4.4,1
35.0,64504.0,0.464,0.683,0,7.3,1
38.0,139232.0,0.467,0.393,0,3.9,1
24.0,45010.0,0.133,0.039,0,1.5,0
37.0,70749.0,0.317,0.292,0,5.4,0
37.0,54842.0,0.178,0.557,1,3.4,1
43.0,54832.0,0.19,0.538,1,4.5,1
33.0,49881.0,0.179,0.066,1,6.5,1
46.0,35288.0,0.058,0.773,0,7.3,0
52.0,64060.0,0.267,0.702,1,1.6,1
42.0,46893.0,0.265,0.302,0,4.1,0
44.0,34462.0,0.275,0.77,1,3.8,1
41.0,89957.0,0.365,0.611,0,7.0,1
40.0,56926.0,0.451,0.231,0,6.7,1
31.0,48337.0,0.047,0.263,0,6.5,1
44.0,105876.0,0.111,0.678,1,6.7,0
39.0,21633.0,0.131,0.518,0,4.8,1
65.0,102376.0,0.496,0.468,0,3.3,1
59.0,34888.0,0.355,0.207,0,7.6,1
45.0,60220.0,0.305,0.209,1,1.4,1
31.0,40375.0,0.252,0.426,0,2.2,1
27.0,34149.0,0.051,0.105,1,4.5,1
54.0,104500.0,0.354,0.462,0,15.5,1
43.0,137051.0,0.255,0.323,1,3.0,0
46.0,48503.0,0.095,0.524,1,17.7,0
19.0,64070.0,0.187,0.254,0,5.4,0
51.0,55742.0,0.1,0.205,1,11.9,0
45.0,128702.0,0.351,0.461,2,3.3,1
27.0,18834.0,0.204,0.038,1,1.8,1
34.0,65419.0,0.295,0.373,0,1.0,0
43.0,37663.0,0.374,0.035,0,5.2,0
41.0,16681.0,0.118,0.32,0,2.1,0
36.0,45240.0,0.062,0.545,0,2.7,0
39.0,136492.0,0.059,0.214,1,7.1,0
37.0,39026.0,0.316,0.185,1,0.7,0
42.0,80449.0,0.468,0.246,0,11.7,1
58.0,98650.0,0.312,0.323,0,1.1,0
18.0,53834.0,0.158,0.53,1,6.0,1
37.0,57540.0,0.288,0.195,0,13.9,1
42.0,22968.0,0.05,0.549,1,5.4,1
44.0,37870.0,0.179,0.231,0,1.3,1
36.0,85264.0,0.481,0.082,1,14.8,1
19.0,55845.0,0.196,0.086,1,9.2,1
44.0,65099.0,0.307,0.606,0,7.5,0
61.0,57906.0,0.598,0.507,0,6.7,0
22.0,162105.0,0.118,0.746,0,13.9,1
50.0,43684.0,0.437,0.55,1,2.0,0
36.0,120898.0,0.214,0.571,1,4.7,1
39.0,57916.0,0.163,0.136,0,3.7,0
27.0,126386.0,0.109,0.703,0,8.6,0
36.0,29364.0,0.331,0.565,2,13.5,1
56.0,59416.0,0.065,0.67,0,5.4,1
47.0,44496.0,0.066,0.113,1,7.2,0
61.0,58089.0,0.126,0.102,1,5.1,1
54.0,99826.0,0.351,0.119,1,8.3,1
45.0,65474.0,0.18,0.26,0,2.8,0
61.0,99727.0,0.143,0.478,0,8.1,1
45.0,38750.0,0.418,0.832,1,8.9,1
50.0,35903.0,0.058,0.07,0,6.0,0
36.0,54614.0,0.47,0.256,0,3.5,1
41.0,53139.0,0.252,0.298,2,7.1,1
32.0,49369.0,0.198,0.411,1,3.8,0
52.0,33546.0,0.097,0.788,0,12.2,1
26.0,98649.0,0.254,0.784,0,7.6,1
49.0,45188.0,0.106,0.236,0,2.9,0
38.0,110530.0,0.418,0.729,0,2.2,1
54.0,54523.0,0.315,0.646,0,3.7,1
49.0,74923.0,0.521,0.301,0,5.1,1
62.0,71600.0,0.135,0.34,1,0.7,1
49.0,35877.0,0.083,0.082,0,11.3,0
21.0,65095.0,0.106,0.311,0,7.7,0
39.0,142083.0,0.629,0.736,0,7.4,1
26.0,61439.0,0.277,0.544,0,11.0,0
34.0,85020.0,0.273,0.497,1,4.6,0
58.0,76622.0,0.204,0.477,2,4.7,0
48.0,63166.0,0.431,0.295,1,7.0,1
32.0,59471.0,0.127,0.46,0,11.4,0
28.0,71229.0,0.237,0.408,2,4.7,1
40.0,79351.0,0.297,0.402,0,4.8,0
25.0,27554.0,0.409,0.332,0,2.9,1
32.0,61307.0,0.322,0.608,0,4.3,0
44.0,49413.0,0.498,0.097,0,4.6,1
54.0,44544.0,0.116,0.309,0,6.4,0
47.0,103568.0,0.187,0.519,0,11.9,0
18.0,37550.0,0.441,0.529,0,4.1,1
44.0,26974.0,0.249,0.397,1,8.2,1
41.0,80649.0,0.385,0.465,0,4.3,1
45.0,26630.0,0.257,0.181,1,12.0,1
59.0,20662.0,0.288,0.764,1,4.0,1
18.0,85317.0,0.069,0.157,0,3.7,1
33.0,58651.0,0.348,0.382,0,4.4,1
47.0,68621.0,0.311,0.378,0,10.0,1
21.0,43425.0,0.089,0.348,0,5.5,0
58.0,27114.0,0.232,0.196,0,12.5,1
44.0,29945.0,0.15,0.532,0,1.0,1
50.0,47283.0,0.547,0.501,0,3.6,1
33.0,28676.0,0.188,0.324,1,1.8,1
50.0,63166.0,0.052,0.634,1,6.5,1
53.0,42992.0,0.429,0.21,2,4.8,1
43.0,59428.0,0.349,0.036,0,5.8,0
43.0,58546.0,0.193,0.387,0,2.4,1
43.0,65736.0,0.256,0.505,0,15.9,1
30.0,69546.0,0.307,0.445,0,2.4,1
38.0,45618.0,0.336,0.151,0,12.4,1
38.0,59396.0,0.217,0.662,0,4.8,1
45.0,60962.0,0.306,0.842,0,6.2,0
52.0,16084.0,0.382,0.4,0,7.3,1
27.0,74852.0,0.073,0.099,0,7.5,1
38.0,58394.0,0.103,0.352,0,2.2,1
58.0,71828.0,0.163,0.655,0,3.0,1
31.0,28469.0,0.083,0.218,0,6.5,0
30.0,46264.0,0.562,0.109,0,5.9,0
42.0,31390.0,0.099,0.385,0,2.6,1
50.0,78614.0,0.399,0.562,2,7.4,1
40.0,26834.0,0.08,0.272,0,6.4,0
56.0,34053.0,0.142,0.212,0,3.5,0
50.0,70768.0,0.372,0.665,1,4.3,1
50.0,39550.0,0.461,0.696,1,7.8,1
47.0,34057.0,0.089,0.558,0,10.2,0
68.0,85251.0,0.35,0.259,0,2.5,1
38.0,87017.0,0.052,0.456,1,5.6,0
18.0,77733.0,0.091,0.236,0,3.8,1
59.0,82814.0,0.409,0.341,0,5.7,1
35.0,48253.0,0.539,0.405,0,3.8,1
41.0,48908.0,0.442,0.21,1,21.7,1
56.0,39181.0,0.42,0.211,0,6.7,1
21.0,58916.0,0.299,0.381,0,6.8,1
25.0,41608.0,0.193,0.531,2,6.8,1
21.0,43629.0,0.481,0.665,0,3.8,0
30.0,73127.0,0.315,0.296,1,5.7,0
45.0,97956.0,0.148,0.279,0,4.5,1
46.0,66114.0,0.087,0.4,0,4.9,1
43.0,132874.0,0.141,0.6,1,3.1,1
23.0,38072.0,0.231,0.251,0,16.1,1
18.0,21612.0,0.191,0.462,0,2.2,1
41.0,77444.0,0.392,0.483,1,2.5,0
34.0,36831.0,0.103,0.469,1,4.7,1
46.0,47247.0,0.288,0.114,2,4.8,1
48.0,22362.0,0.039,0.279,1,4.8,1
42.0,34558.0,0.16,0.588,1,8.0,1
49.0,25563.0,0.479,0.407,0,5.1,1
43.0,43602.0,0.141,0.452,0,4.6,1
46.0,44477.0,0.36,0.577,0,5.9,0
32.0,56669.0,0.071,0.504,0,3.2,1
38.0,100696.0,0.148,0.529,1,4.1,0
42.0,75997.0,0.263,0.376,0,6.7,1
50.0,24075.0,0.414,0.35,0,1.6,1
35.0,73424.0,0.275,0.471,0,7.1,1
46.0,57290.0,0.291,0.388,1,4.5,1
37.0,51590.0,0.108,0.771,0,8.4,1
39.0,53565.0,0.255,0.486,0,10.3,1
50.0,60011.0,0.266,0.681,0,7.3,1
18.0,38333.0,0.213,0.206,1,4.5,1
24.0,49455.0,0.459,0.249,0,11.1,1
22.0,97926.0,0.112,0.34,0,4.6,0
18.0,38103.0,0.067,0.283,0,2.0,1
32.0,32372.0,0.278,0.507,0,7.6,0
49.0,52530.0,0.37,0.56,1,4.8,1
37.0,30783.0,0.264,0.752,0,10.0,1
42.0,22894.0,0.349,0.312,0,6.7,1
53.0,45605.0,0.517,0.286,0,4.6,0
56.0,111783.0,0.161,0.367,0,6.9,1
39.0,53141.0,0.087,0.068,1,5.8,0
56.0,59236.0,0.398,0.43,0,4.3,1
41.0,18675.0,0.178,0.553,1,17.3,1
30.0,67445.0,0.256,0.66,2,2.2,1
33.0,56765.0,0.319,0.089,0,2.0,1
22.0,38853.0,0.328,0.04,0,6.5,1
29.0,59280.0,0.664,0.149,0,4.9,1
36.0,58986.0,0.309,0.331,0,5.5,1
50.0,31897.0,0.075,0.561,0,5.8,0
61.0,63954.0,0.604,0.418,1,7.0,1
23.0,98574.0,0.473,0.511,0,5.4,0
45.0,48341.0,0.298,0.616,0,0.9,1
28.0,35109.0,0.353,0.525,0,7.9,1
46.0,49573.0,0.152,0.506,0,0.3,1
38.0,83059.0,0.367,0.449,0,4.4,0
18.0,29344.0,0.117,0.278,1,4.6,0
51.0,72351.0,0.235,0.614,0,2.8,0
33.0,38599.0,0.159,0.501,0,16.7,1
34.0,61147.0,0.264,0.477,0,3.2,1
27.0,40857.0,0.297,0.352,0,14.3,0
32.0,40802.0,0.065,0.212,1,9.0,0
45.0,116023.0,0.332,0.07,0,3.3,1
38.0,26781.0,0.081,0.126,1,7.5,1
44.0,69057.0,0.376,0.123,0,3.7,1
44.0,128754.0,0.308,0.093,0,8.4,1
56.0,76325.0,0.149,0.523,2,9.8,1
36.0,27846.0,0.074,0.145,0,8.5,1
22.0,28544.0,0.35,0.383,1,8.6,1
53.0,37205.0,0.413,0.583,0,3.3,1
36.0,58627.0,0.157,0.431,0,2.8,1
53.0,60656.0,0.261,0.377,0,10.6,0
45.0,28686.0,0.192,0.167,1,7.5,1
38.0,35018.0,0.694,0.399,0,1.5,0
44.0,36108.0,0.192,0.121,0,2.0,0
63.0,49495.0,0.263,0.1,2,4.8,0
65.0,146144.0,0.522,0.201,0,0.9,0
41.0,33976.0,0.153,0.264,0,4.0,0
42.0,33240.0,0.281,0.201,0,11.7,1
53.0,30743.0,0.277,0.838,1,2.9,1
30.0,74442.0,0.317,0.375,1,8.3,0
44.0,53068.0,0.191,0.279,0,3.6,1
40.0,34610.0,0.626,0.772,1,2.2,1
44.0,45189.0,0.333,0.687,0,7.7,0
30.0,36470.0,0.197,0.104,0,9.0,1
21.0,62815.0,0.109,0.541,0,3.0,1
18.0,207355.0,0.376,0.406,0,8.3,0
27.0,71356.0,0.287,0.719,1,2.1,1
34.0,51715.0,0.282,0.304,0,3.8,1
36.0,38852.0,0.375,0.201,1,7.8,0
63.0,27675.0,0.269,0.3,0,3.5,1
53.0,78186.0,0.232,0.213,0,0.7,0
28.0,76090.0,0.169,0.721,0,5.9,1
44.0,42914.0,0.453,0.041,2,2.0,1
35.0,99376.0,0.349,0.388,0,3.8,0
37.0,54751.0,0.113,0.339,0,5.3,1
42.0,79808.0,0.328,0.831,1,3.5,1
47.0,62824.0,0.257,0.193,1,8.8,0
36.0,49584.0,0.315,0.289,0,2.6,1
53.0,33609.0,0.233,0.2,0,6.1,0
26.0,50374.0,0.086,0.865,2,8.4,1
40.0,82539.0,0.175,0.109,0,5.9,0
71.0,42021.0,0.254,0.338,0,5.9,0
43.0,67499.0,0.192,0.237,0,2.8,1
57.0,31528.0,0.32,0.295,0,4.9,1
41.0,80020.0,0.213,0.482,0,19.1,0
47.0,63353.0,0.265,0.696,1,11.6,1
39.0,29701.0,0.311,0.523,0,2.3,1
38.0,48436.0,0.139,0.441,0,5.5,0
31.0,86312.0,0.133,0.446,1,6.5,0
45.0,28868.0,0.181,0.584,0,2.8,1
30.0,31714.0,0.108,0.274,2,4.2,1
48.0,52326.0,0.358,0.234,0,5.6,1
53.0,157419.0,0.456,0.586,0,6.0,0
44.0,38704.0,0.116,0.615,0,7.3,0
37.0,69400.0,0.495,0.426,0,4.5,1
45.0,61702.0,0.391,0.586,1,0.4,1
36.0,40346.0,0.267,0.667,1,2.7,0
51.0,58722.0,0.141,0.27,0,3.5,0
18.0,43308.0,0.234,0.355,0,6.0,0
36.0,45302.0,0.28,0.367,0,1.4,1
18.0,23609.0,0.115,0.468,0,3.7,1
22.0,53518.0,0.332,0.371,1,6.6,1
56.0,84927.0,0.099,0.686,2,10.7,1
51.0,55754.0,0.326,0.29,0,2.2,1
31.0,93457.0,0.545,0.085,0,7.2,1
22.0,72415.0,0.254,0.066,0,9.1,1
18.0,52587.0,0.174,0.545,0,8.2,1
33.0,39578.0,0.419,0.193,0,9.4,1
69.0,42483.0,0.47,0.396,0,4.2,1
45.0,25971.0,0.325,0.383,0,1.8,0
33.0,47404.0,0.22,0.441,0,2.8,1
46.0,58279.0,0.498,0.61,0,8.2,1
21.0,127735.0,0.115,0.438,0,2.0,0
36.0,70556.0,0.392,0.136,1,0.5,1
41.0,35157.0,0.347,0.437,0,3.6,1
39.0,26379.0,0.171,0.407,2,6.2,1
49.0,48860.0,0.162,0.705,0,3.1,0
44.0,81298.0,0.078,0.13,0,7.4,0
48.0,48518.0,0.144,0.591,1,4.7,1
32.0,71040.0,0.13,0.296,0,3.8,1
51.0,49486.0,0.078,0.045,0,14.1,0
60.0,77536.0,0.272,0.345,1,1.8,1
28.0,24376.0,0.209,0.701,1,6.5,0
29.0,120824.0,0.472,0.547,2,2.4,1
56.0,31063.0,0.268,0.273,0,25.9,1
38.0,80569.0,0.373,0.457,1,8.0,0
57.0,47283.0,0.287,0.501,0,2.4,1
35.0,51128.0,0.417,0.419,0,7.4,1
57.0,48024.0,0.336,0.564,2,5.3,1
42.0,61562.0,0.173,0.522,0,4.8,1
43.0,68102.0,0.31,0.227,3,6.5,0
59.0,91967.0,0.174,0.302,0,4.6,1
36.0,109532.0,0.042,0.663,0,4.2,0
29.0,63953.0,0.121,0.195,0,1.9,0
35.0,127623.0,0.258,0.693,2,1.6,1
45.0,56754.0,0.47,0.327,1,7.0,1
21.0,92848.0,0.237,0.335,1,3.9,1
48.0,67128.0,0.427,0.43,0,4.0,1
34.0,41167.0,0.27,0.602,0,1.5,0
54.0,59315.0,0.276,0.295,2,3.5,1
18.0,69674.0,0.214,0.784,0,2.7,1
31.0,53311.0,0.361,0.36,1,5.3,1
20.0,66598.0,0.271,0.447,0,9.8,1
30.0,83507.0,0.111,0.088,0,4.0,0
43.0,53547.0,0.608,0.71,0,11.0,0
38.0,12432.0,0.101,0.751,1,5.5,1
37.0,125384.0,0.146,0.6,0,11.3,1
38.0,46686.0,0.296,0.373,1,10.8,1
42.0,35895.0,0.193,0.778,0,2.4,1
28.0,30882.0,0.478,0.18,1,8.3,1
48.0,45788.0,0.327,0.688,1,5.3,0
48.0,40889.0,0.239,0.28,0,3.0,0
45.0,37477.0,0.238,0.234,2,7.4,1
47.0,38520.0,0.068,0.397,0,14.3,1
44.0,70606.0,0.616,0.84,0,2.6,0
64.0,149519.0,0.294,0.316,0,1.0,1
39.0,81657.0,0.09,0.69,1,2.4,0
36.0,94968.0,0.402,0.417,0,5.2,1
31.0,44860.0,0.214,0.256,1,12.0,1
28.0,57087.0,0.149,0.666,1,0.9,1
